Rank,Player,Team,Years active,Apps,Runs,Wkts
1,MS Dhoni,"CSK,   RPS",2008–present,278,"5,439",–
2,Rohit Sharma,"DCH,   MI",2008–present,277,"7,267",15
3,Virat Kohli,RCB,2008–present,276,"9,040",4
4,Ravindra Jadeja,"CSK,   GL,   KTK,   RR",2008–present,264,"3,412",177
5,Dinesh Karthik,"DD,   GL,   KKR,   KXIP,   MI,   RCB",2008–2024,257,"4,842",–
6,Shikhar Dhawan,"DD,   DCH,   MI,   PBKS,   SRH",2008–2024,222,"6,769",4
7,Ravichandran Ashwin,"CSK,   DC,   KXIP,   RR,   RPS",2009–2025,221,833,187
8,Ajinkya Rahane,"CSK,   DC,   KKR,   MI,   RPS,    RR",2008–present,207,"5,237",1
9,Suresh Raina,"CSK,   GL",2008–2021,205,"5,528",25
10,Robin Uthappa,"CSK,   KKR,   PWI,   RR,   RCB",2008–2022,205,"4,952",–
